CustomerID,SeniorCitizen,Partner,Dependents,Tenure,Contract,InternetService,OnlineSecurity,TechSupport,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00052,1,Yes,No,49,Month-to-month,No,Yes,No,Yes,Mailed check,112.89,5632.54,Yes
CUST00053,1,Yes,Yes,3,One year,No,No,No,Yes,Mailed check,43.81,157.43,Yes
CUST00054,0,No,No,1,Two year,No,Yes,Yes,No,Bank transfer,97.68,195.58,No
CUST00055,0,Yes,Yes,5,Month-to-month,DSL,No,No,No,Mailed check,102.16,462.74,Yes
CUST00056,0,Yes,Yes,53,Month-to-month,DSL,Yes,Yes,No,Mailed check,68.54,3616.08,No
CUST00057,0,Yes,No,3,One year,Fiber optic,Yes,Yes,Yes,Credit card,57.41,216.74,Yes
CUST00058,1,No,No,53,Month-to-month,No,No,Yes,No,Electronic check,63.91,3416.68,No
CUST00059,1,Yes,No,62,Month-to-month,DSL,No,No,No,Bank transfer,41.15,2550.52,No
CUST00060,0,No,Yes,17,Month-to-month,DSL,Yes,No,No,Credit card,108.72,1794.42,No
CUST00061,0,No,Yes,43,Month-to-month,No,Yes,No,Yes,Mailed check,63.96,2641.37,No
CUST00062,0,No,No,33,One year,DSL,Yes,Yes,Yes,Bank transfer,108.01,3553.33,No
CUST00063,0,No,No,61,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,28.78,1746.72,No
CUST00064,0,Yes,Yes,13,Two year,Fiber optic,No,No,No,Electronic check,118.8,1550.8,Yes
CUST00065,0,Yes,No,47,One year,DSL,Yes,No,No,Electronic check,63.21,2898.59,No
CUST00066,0,Yes,Yes,14,One year,DSL,No,No,Yes,Bank transfer,22.88,276.36,No
CUST00067,0,No,No,71,One year,Fiber optic,No,Yes,Yes,Electronic check,21.88,1573.07,No
CUST00068,0,Yes,Yes,61,Two year,Fiber optic,No,Yes,No,Electronic check,94.11,5769.96,No
CUST00069,1,Yes,Yes,39,Month-to-month,No,No,No,Yes,Mailed check,85.22,3333.63,No
CUST00070,0,Yes,Yes,52,Two year,DSL,Yes,No,No,Electronic check,99.82,5173.31,No
CUST00071,1,Yes,Yes,23,One year,DSL,Yes,Yes,No,Electronic check,28.75,601.9,No
CUST00072,0,No,Yes,25,One year,Fiber optic,Yes,Yes,No,Credit card,21.63,588.44,No
CUST00073,0,No,No,59,One year,Fiber optic,No,No,Yes,Mailed check,69.88,4159.27,No
CUST00074,0,Yes,Yes,40,Month-to-month,DSL,No,No,Yes,Mailed check,57.53,2272.49,No
CUST00075,0,No,Yes,28,Month-to-month,Fiber optic,No,No,No,Bank transfer,65.12,1865.02,No
CUST00076,0,No,Yes,14,One year,DSL,Yes,Yes,No,Electronic check,119.14,1664.51,Yes
CUST00077,0,No,No,44,Month-to-month,DSL,No,Yes,Yes,Credit card,117.02,5114.76,No
CUST00078,0,No,No,64,One year,DSL,Yes,No,Yes,Credit card,114.12,7350.02,No
CUST00079,0,Yes,No,70,Month-to-month,Fiber optic,Yes,Yes,Yes,Mailed check,97.95,6861.51,No
CUST00080,0,Yes,No,8,Month-to-month,Fiber optic,No,No,No,Electronic check,54.19,412.11,Yes
CUST00081,0,No,Yes,0,Month-to-month,Fiber optic,Yes,No,No,Credit card,60.04,0.0,No
CUST00082,0,No,Yes,7,Month-to-month,Fiber optic,Yes,Yes,No,Bank transfer,74.06,458.93,No
CUST00083,0,No,No,62,Month-to-month,No,No,No,Yes,Electronic check,102.71,6410.37,Yes
CUST00084,0,No,No,10,Month-to-month,DSL,Yes,No,No,Electronic check,25.01,272.75,No
CUST00085,0,No,No,7,Two year,DSL,Yes,No,Yes,Electronic check,61.28,370.48,No
CUST00086,1,No,No,34,One year,DSL,Yes,No,Yes,Credit card,26.43,839.19,No
CUST00087,0,No,No,34,Month-to-month,DSL,No,Yes,No,Mailed check,70.5,2502.13,No
CUST00088,1,Yes,No,32,One year,Fiber optic,No,No,Yes,Mailed check,109.69,3533.31,No
CUST00089,0,No,Yes,4,Two year,Fiber optic,Yes,No,Yes,Bank transfer,97.81,451.72,No
CUST00090,0,No,Yes,40,One year,Fiber optic,No,No,No,Credit card,41.24,1724.21,No
CUST00091,0,No,No,27,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,117.55,3127.44,Yes
CUST00092,0,Yes,Yes,6,Two year,DSL,No,No,Yes,Bank transfer,86.07,603.56,No
CUST00093,0,Yes,No,72,One year,Fiber optic,No,No,Yes,Bank transfer,19.06,1318.43,No
CUST00094,0,No,No,71,Month-to-month,DSL,No,No,Yes,Mailed check,44.05,3164.01,No
CUST00095,0,No,No,11,Month-to-month,Fiber optic,No,No,No,Electronic check,44.59,484.69,Yes
CUST00096,0,No,Yes,33,One year,No,No,No,Yes,Electronic check,25.06,863.15,No
CUST00097,0,Yes,No,32,Month-to-month,Fiber optic,No,No,No,Credit card,115.9,3698.26,No
CUST00098,0,Yes,No,47,Two year,Fiber optic,No,No,Yes,Credit card,66.78,3166.11,No
CUST00099,0,Yes,No,22,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,109.37,2474.24,Yes
CUST00100,1,No,Yes,61,Two year,DSL,No,No,Yes,Bank transfer,50.87,3159.05,No
CUST00101,0,Yes,Yes,36,One year,Fiber optic,No,Yes,No,Electronic check,30.77,1104.62,No
CUST00102,1,No,No,43,Month-to-month,DSL,Yes,No,Yes,Mailed check,66.38,2806.66,No
CUST00103,0,Yes,No,34,Month-to-month,DSL,Yes,Yes,No,Bank transfer,29.62,992.2,Yes
CUST00104,0,No,No,64,One year,Fiber optic,No,No,Yes,Bank transfer,67.57,4346.69,No
CUST00105,0,No,No,46,One year,No,No,Yes,No,Mailed check,111.87,5178.62,No
CUST00106,0,No,No,2,One year,DSL,No,No,No,Mailed check,71.12,195.74,No
CUST00107,0,Yes,No,0,Month-to-month,Fiber optic,Yes,No,No,Credit card,80.88,0.0,Yes
CUST00108,0,No,Yes,4,Month-to-month,No,Yes,Yes,No,Mailed check,33.98,89.3,No
CUST00109,1,Yes,No,13,Month-to-month,No,No,No,No,Mailed check,22.46,240.99,No
CUST00110,0,Yes,Yes,26,One year,Fiber optic,No,No,No,Mailed check,29.3,751.95,No
CUST00111,0,Yes,Yes,8,Month-to-month,DSL,Yes,No,Yes,Mailed check,79.05,643.11,Yes
CUST00112,1,No,Yes,14,Month-to-month,No,No,No,Yes,Credit card,27.69,406.16,Yes
CUST00113,0,Yes,No,41,One year,DSL,No,Yes,No,Bank transfer,56.35,2239.63,No
CUST00114,0,No,Yes,50,Two year,Fiber optic,No,No,Yes,Electronic check,74.11,3657.83,No
CUST00115,0,Yes,Yes,62,Month-to-month,DSL,No,Yes,Yes,Electronic check,57.64,3538.55,No
CUST00116,0,Yes,No,51,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,34.7,1857.58,No
CUST00117,0,Yes,Yes,3,One year,DSL,No,No,Yes,Electronic check,45.93,118.74,No
CUST00118,1,No,No,22,One year,Fiber optic,No,Yes,No,Electronic check,112.69,2405.34,Yes
CUST00119,0,Yes,No,14,Month-to-month,DSL,Yes,No,Yes,Bank transfer,86.95,1236.37,No
CUST00120,0,No,No,42,Two year,DSL,No,Yes,No,Electronic check,68.6,2875.77,Yes
CUST00121,0,No,Yes,28,Two year,Fiber optic,Yes,No,No,Electronic check,19.3,481.65,No
CUST00122,0,No,Yes,35,Month-to-month,No,Yes,Yes,No,Bank transfer,119.23,4149.37,Yes
CUST00123,0,Yes,No,12,Month-to-month,No,No,No,Yes,Electronic check,86.49,1020.81,No
CUST00124,0,Yes,No,31,Month-to-month,DSL,No,Yes,Yes,Mailed check,50.33,1554.07,No
CUST00125,0,No,Yes,70,One year,Fiber optic,No,No,No,Bank transfer,107.69,7584.8,No
CUST00126,1,No,No,58,Month-to-month,Fiber optic,No,No,No,Credit card,44.36,2600.91,No
CUST00127,0,Yes,No,27,One year,DSL,No,Yes,No,Electronic check,73.49,1990.48,No
CUST00128,0,No,Yes,65,One year,DSL,No,No,Yes,Credit card,82.88,5436.51,No
CUST00129,0,Yes,No,41,Month-to-month,Fiber optic,No,No,Yes,Electronic check,40.55,1642.06,No
CUST00130,0,No,Yes,44,One year,No,Yes,No,No,Mailed check,117.8,5146.94,No
CUST00131,1,Yes,No,61,Two year,Fiber optic,Yes,No,Yes,Bank transfer,94.32,5768.96,No
CUST00132,0,Yes,No,56,Month-to-month,Fiber optic,No,No,No,Credit card,74.9,4205.98,No
CUST00133,0,Yes,Yes,5,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,36.42,108.3,Yes
CUST00134,0,No,No,27,Month-to-month,DSL,No,Yes,No,Credit card,23.49,708.89,No
CUST00135,0,No,No,27,Two year,Fiber optic,No,No,Yes,Electronic check,50.65,1316.61,No
CUST00136,0,Yes,No,43,Two year,Fiber optic,No,No,Yes,Mailed check,94.83,4104.16,No
CUST00137,0,No,No,29,Month-to-month,DSL,No,Yes,No,Credit card,45.47,1346.27,No
CUST00138,1,No,No,61,One year,No,No,Yes,No,Credit card,73.03,4300.5,Yes
CUST00139,0,No,No,61,Month-to-month,DSL,Yes,No,No,Mailed check,92.25,5638.61,No
CUST00140,0,Yes,Yes,0,Month-to-month,No,Yes,No,No,Mailed check,29.01,81.87,No
CUST00141,0,No,Yes,26,Month-to-month,Fiber optic,Yes,Yes,No,Mailed check,87.9,2249.89,No
CUST00142,0,Yes,No,61,Month-to-month,DSL,No,No,No,Mailed check,27.37,1574.68,No
CUST00143,0,Yes,No,2,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,116.44,227.02,Yes
CUST00144,0,No,Yes,69,One year,Fiber optic,No,No,Yes,Bank transfer,67.82,4702.88,No
CUST00145,0,No,No,71,Month-to-month,DSL,No,Yes,Yes,Electronic check,33.37,2364.91,No
CUST00146,1,No,No,26,Two year,Fiber optic,Yes,No,Yes,Electronic check,52.92,1328.4,No
CUST00147,0,No,No,8,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,60.17,429.85,Yes
CUST00148,0,No,Yes,61,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,95.33,5734.02,No
CUST00149,0,Yes,No,36,Month-to-month,DSL,No,No,No,Bank transfer,93.83,3284.13,No
CUST00150,0,Yes,No,50,One year,Fiber optic,No,Yes,Yes,Bank transfer,80.42,4003.85,No
CUST00151,0,No,No,43,Month-to-month,DSL,No,Yes,Yes,Credit card,28.8,1259.6,No
CUST00152,0,No,Yes,23,Month-to-month,Fiber optic,No,No,Yes,Mailed check,33.46,777.54,Yes
CUST00153,0,No,No,58,Two year,DSL,No,No,No,Electronic check,27.56,1611.02,No
CUST00154,0,No,No,31,Month-to-month,No,No,Yes,Yes,Mailed check,76.87,2414.56,No
CUST00155,0,No,No,51,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,107.47,5546.38,No
CUST00156,1,No,Yes,61,Two year,Fiber optic,Yes,No,Yes,Mailed check,62.25,3798.63,No
CUST00157,0,Yes,No,57,Month-to-month,Fiber optic,No,No,No,Electronic check,34.41,1978.61,No
CUST00158,0,Yes,Yes,51,Month-to-month,DSL,No,No,No,Electronic check,74.92,3838.49,Yes
CUST00159,1,No,Yes,11,Month-to-month,DSL,Yes,Yes,No,Credit card,100.8,1116.17,No
CUST00160,0,No,Yes,38,Month-to-month,No,Yes,No,Yes,Bank transfer,93.65,3559.66,No
CUST00161,0,No,Yes,1,Month-to-month,No,No,No,No,Mailed check,107.91,112.93,Yes
CUST00162,0,Yes,No,2,Month-to-month,DSL,Yes,No,Yes,Mailed check,46.35,170.78,Yes
CUST00163,0,No,Yes,55,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,37.78,2149.52,No
CUST00164,0,No,No,58,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,107.74,6163.56,No
CUST00165,0,No,No,1,One year,Fiber optic,No,Yes,Yes,Credit card,85.07,96.0,No
CUST00166,1,Yes,No,1,Month-to-month,DSL,No,No,No,Bank transfer,49.71,50.06,Yes
CUST00167,0,No,No,53,Month-to-month,DSL,No,No,Yes,Mailed check,93.72,5030.17,Yes
CUST00168,0,No,No,0,Two year,DSL,No,No,Yes,Credit card,101.14,0.0,No
CUST00169,0,No,No,18,One year,No,No,No,Yes,Bank transfer,80.73,1465.71,No
CUST00170,0,No,No,1,Month-to-month,Fiber optic,Yes,Yes,Yes,Mailed check,88.16,55.66,Yes
CUST00171,1,No,No,52,Two year,Fiber optic,No,No,No,Electronic check,56.28,2967.23,No
CUST00172,0,Yes,No,43,Month-to-month,No,No,No,No,Credit card,72.95,3074.65,No
CUST00173,0,Yes,No,31,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,71.46,2199.99,No
CUST00174,0,No,No,69,One year,No,No,No,Yes,Mailed check,104.5,7157.79,No
CUST00175,0,Yes,No,31,Month-to-month,Fiber optic,No,No,Yes,Mailed check,103.68,3199.03,Yes
CUST00176,0,No,Yes,67,Month-to-month,DSL,No,No,Yes,Credit card,102.93,6868.86,No
CUST00177,0,Yes,Yes,54,Month-to-month,No,Yes,Yes,No,Credit card,19.13,1074.87,No
CUST00178,0,Yes,No,55,Month-to-month,Fiber optic,No,Yes,No,Mailed check,94.45,5183.8,No
CUST00179,0,No,Yes,16,Month-to-month,DSL,No,Yes,No,Bank transfer,95.38,1600.67,Yes
CUST00180,0,Yes,No,37,Two year,DSL,No,No,Yes,Electronic check,87.19,3213.98,No
CUST00181,0,No,Yes,23,Month-to-month,DSL,No,Yes,Yes,Mailed check,95.14,2134.08,No
CUST00182,0,No,No,68,Two year,Fiber optic,No,No,Yes,Bank transfer,103.88,7051.7,No
CUST00183,1,Yes,No,69,One year,No,Yes,No,No,Credit card,65.97,4575.77,No
CUST00184,0,No,Yes,10,Two year,No,Yes,No,No,Mailed check,69.21,776.43,No
CUST00185,1,Yes,No,15,One year,No,No,No,No,Credit card,30.72,428.56,No
CUST00186,0,No,No,72,One year,DSL,No,No,No,Electronic check,57.31,4209.25,No
CUST00187,0,Yes,No,58,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,83.62,4840.46,No
CUST00188,0,Yes,No,69,Month-to-month,DSL,Yes,No,Yes,Electronic check,97.6,6712.14,No
CUST00189,0,No,Yes,2,Month-to-month,No,No,No,Yes,Credit card,40.16,119.1,Yes
CUST00190,0,No,No,19,Two year,Fiber optic,No,No,Yes,Credit card,32.06,680.31,Yes
CUST00191,0,Yes,Yes,58,Two year,Fiber optic,No,No,Yes,Electronic check,85.63,4994.4,No
CUST00192,0,No,No,35,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,18.19,565.9,Yes
CUST00193,0,No,No,18,Month-to-month,Fiber optic,No,No,No,Bank transfer,36.19,668.07,Yes
CUST00194,0,No,No,66,Month-to-month,DSL,Yes,No,Yes,Credit card,20.97,1492.75,No
CUST00195,0,Yes,No,18,One year,No,No,Yes,Yes,Mailed check,35.02,516.47,No
CUST00196,0,No,No,19,Month-to-month,No,No,Yes,Yes,Credit card,36.49,711.98,No
CUST00197,0,No,Yes,70,One year,DSL,Yes,Yes,No,Bank transfer,57.54,4013.57,No
CUST00198,0,No,No,51,Two year,Fiber optic,No,No,Yes,Mailed check,59.04,2964.25,Yes
CUST00199,0,No,No,32,Month-to-month,No,No,Yes,Yes,Bank transfer,107.17,3481.11,No
CUST00200,0,Yes,Yes,39,Month-to-month,DSL,No,No,No,Mailed check,70.03,2644.28,No
CUST00201,0,Yes,No,38,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,91.79,3470.51,No
CUST00202,0,Yes,No,0,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer,28.62,50.06,No
CUST00203,0,Yes,Yes,10,Month-to-month,Fiber optic,No,No,No,Credit card,40.99,454.24,No
CUST00204,1,Yes,No,56,Month-to-month,DSL,No,Yes,No,Mailed check,89.7,5053.02,No
CUST00205,0,No,No,49,Two year,Fiber optic,No,No,No,Bank transfer,23.39,1154.75,No
CUST00206,1,Yes,Yes,22,Month-to-month,DSL,No,Yes,Yes,Electronic check,67.63,1481.66,No
CUST00207,0,Yes,No,30,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,79.14,2350.69,No
CUST00208,1,Yes,No,41,Two year,No,No,Yes,No,Credit card,79.42,3207.65,No
CUST00209,0,Yes,No,6,One year,No,No,Yes,Yes,Electronic check,20.34,162.7,No
CUST00210,0,Yes,No,15,Month-to-month,No,Yes,No,No,Electronic check,50.86,773.45,No
CUST00211,0,No,No,59,One year,Fiber optic,No,No,No,Mailed check,82.92,4934.43,No
CUST00212,0,Yes,No,1,Month-to-month,DSL,No,Yes,No,Electronic check,33.2,0.0,No
CUST00213,0,No,Yes,0,One year,DSL,Yes,No,Yes,Electronic check,88.93,0.0,No
CUST00214,1,Yes,No,47,One year,No,Yes,No,Yes,Mailed check,94.08,4446.59,No
CUST00215,1,No,Yes,11,One year,Fiber optic,No,Yes,Yes,Bank transfer,118.16,1185.89,Yes
CUST00216,0,Yes,No,68,Month-to-month,DSL,Yes,Yes,No,Credit card,39.4,2552.76,No
CUST00217,1,No,No,36,Two year,Fiber optic,Yes,No,Yes,Bank transfer,102.16,3728.42,No
CUST00218,1,No,Yes,31,Month-to-month,DSL,No,No,Yes,Electronic check,71.07,2167.81,Yes
CUST00219,0,No,No,8,Month-to-month,DSL,Yes,No,Yes,Credit card,56.09,458.37,No
CUST00220,0,No,No,18,Month-to-month,No,No,No,Yes,Bank transfer,30.48,567.62,No
CUST00221,0,No,Yes,47,Month-to-month,No,No,No,Yes,Credit card,93.02,4423.7,No
CUST00222,0,No,Yes,2,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,42.06,62.12,Yes
CUST00223,0,No,No,19,Two year,No,No,Yes,No,Bank transfer,55.89,1042.64,No
CUST00224,0,No,Yes,23,Two year,Fiber optic,No,Yes,Yes,Credit card,24.38,529.97,No
CUST00225,0,No,No,53,Month-to-month,Fiber optic,No,No,Yes,Credit card,99.74,5317.28,No
CUST00226,0,No,No,32,Month-to-month,DSL,No,No,No,Bank transfer,96.19,3111.35,No
CUST00227,1,Yes,No,23,Month-to-month,DSL,No,No,No,Bank transfer,92.83,2199.0,No
CUST00228,0,No,Yes,71,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,48.54,3384.01,No
CUST00229,0,No,No,35,Month-to-month,No,No,No,Yes,Mailed check,35.69,1360.84,No
CUST00230,0,No,Yes,37,Two year,Fiber optic,No,No,No,Credit card,83.03,3056.49,No
CUST00231,0,Yes,No,24,Month-to-month,DSL,No,Yes,Yes,Bank transfer,68.61,1644.22,No
CUST00232,0,No,No,17,Month-to-month,DSL,No,No,Yes,Bank transfer,36.18,623.23,Yes
CUST00233,0,No,No,65,Month-to-month,No,No,No,Yes,Bank transfer,87.96,5671.86,No
CUST00234,0,No,No,53,Two year,DSL,No,Yes,Yes,Credit card,119.09,6291.19,No
CUST00235,1,Yes,No,34,One year,Fiber optic,No,No,Yes,Electronic check,94.22,3276.51,No
CUST00236,0,Yes,No,60,Two year,DSL,Yes,No,No,Mailed check,93.48,5682.61,No
CUST00237,0,Yes,Yes,40,One year,DSL,No,Yes,No,Credit card,114.93,4607.46,No
CUST00238,0,No,No,32,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,38.7,1290.59,Yes
CUST00239,1,Yes,Yes,67,Month-to-month,Fiber optic,No,No,Yes,Credit card,75.69,5091.77,No
CUST00240,0,No,No,32,One year,DSL,Yes,No,No,Credit card,117.92,3770.58,No
CUST00241,1,No,No,13,Month-to-month,DSL,Yes,No,Yes,Bank transfer,34.86,415.49,No
CUST00242,0,No,No,20,One year,No,Yes,Yes,Yes,Electronic check,89.43,1745.53,No
CUST00243,1,Yes,No,47,Month-to-month,DSL,No,Yes,No,Bank transfer,77.75,3616.37,No
CUST00244,0,Yes,Yes,19,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,77.82,1559.32,No
CUST00245,0,No,No,7,Month-to-month,No,No,Yes,Yes,Electronic check,89.16,667.78,Yes
CUST00246,0,No,Yes,6,One year,DSL,No,Yes,No,Bank transfer,112.82,748.97,Yes
CUST00247,1,Yes,Yes,66,One year,No,No,No,Yes,Bank transfer,97.82,6476.1,No
CUST00248,0,No,Yes,16,Month-to-month,DSL,No,Yes,Yes,Mailed check,23.73,335.66,Yes
CUST00249,1,No,No,32,Month-to-month,Fiber optic,No,No,Yes,Electronic check,104.98,3389.53,Yes
CUST00250,0,Yes,No,47,Month-to-month,Fiber optic,No,Yes,No,Electronic check,41.01,1990.96,No
CUST00251,0,Yes,No,58,Month-to-month,No,No,Yes,No,Bank transfer,56.45,3306.09,Yes
CUST00252,0,No,Yes,21,Month-to-month,DSL,Yes,No,No,Bank transfer,65.1,1301.26,No
CUST00253,0,Yes,No,29,Month-to-month,Fiber optic,No,No,Yes,Electronic check,67.05,1870.74,No
CUST00254,0,Yes,No,37,Month-to-month,No,No,No,Yes,Electronic check,62.39,2340.25,Yes
CUST00255,0,Yes,No,50,Month-to-month,Fiber optic,No,No,Yes,Credit card,113.61,5664.87,Yes
CUST00256,0,No,Yes,53,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,90.01,4786.15,Yes
CUST00257,1,No,No,7,Month-to-month,DSL,No,No,Yes,Credit card,82.38,540.49,Yes
CUST00258,0,Yes,No,26,Month-to-month,Fiber optic,Yes,Yes,No,Bank transfer,23.08,606.42,Yes
CUST00259,0,Yes,Yes,26,Month-to-month,DSL,No,No,No,Mailed check,110.2,2810.19,Yes
CUST00260,1,Yes,No,20,Month-to-month,DSL,No,Yes,Yes,Mailed check,110.76,2227.56,Yes
CUST00261,0,No,Yes,29,One year,Fiber optic,Yes,No,Yes,Credit card,97.58,2866.24,No
CUST00262,0,Yes,No,27,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer,18.72,544.63,No
CUST00263,0,No,Yes,63,Month-to-month,No,No,No,No,Bank transfer,23.84,1436.59,No
CUST00264,0,Yes,Yes,68,Month-to-month,No,No,No,No,Bank transfer,40.97,2809.41,No
CUST00265,0,Yes,No,60,One year,Fiber optic,No,No,No,Electronic check,31.4,1854.62,No
CUST00266,0,Yes,No,47,Two year,No,No,No,Yes,Bank transfer,58.68,2834.31,No
CUST00267,1,No,No,18,One year,Fiber optic,No,No,Yes,Electronic check,112.11,2065.78,Yes
CUST00268,0,No,No,3,One year,DSL,Yes,No,No,Credit card,66.15,199.74,No
